state,perc_elec_savings,perc_gas_savings,perc_total_savings
AK,-33.86326081667846,98.6926402353752,39.66860554847446
AL,26.126748547452166,98.4414600699271,29.764002755356906
AR,26.961033280592645,89.03165743944051,33.374792685960834
AZ,26.480257128268384,84.04390615651909,27.88134079029338
CA,-6.909162955699371,99.23944479520516,33.98455019643417
CO,9.488812663479274,90.98668881205538,36.58087744085232
CT,13.90159314699055,96.48817417623825,19.7572885470975
DC,13.938407764980264,100.00000000000001,29.657815500148743
DE,14.367487753057578,99.04729002202465,30.63701414981792
FL,19.319188591261724,99.9854048229798,19.52725550350393
GA,25.32300963345047,99.69486985040713,32.45860306377857
HI,21.3741732998244,100.0,21.590006553100693
IA,3.0463613558172624,95.05377542061426,26.307766492625504
ID,10.005326510364563,91.21542652011333,33.592451914817644
IL,0.5596810042734837,94.47341807883096,39.23495020847962
IN,5.081759350302539,93.37477928885009,36.86187947691832
KS,19.619113330384124,95.2614702559186,34.710047275474416
KY,20.77380115395043,97.62660864740636,32.64481434116075
LA,30.552555154781356,92.21723976243445,32.068194692198375
MA,14.124717918269717,97.39664107738005,22.10993287111967
MD,18.62163156233033,99.91408495939118,33.231726408598114
ME,1.1930626535664306,90.56204432801457,3.3024925912809793
MI,-7.835427134460364,94.41253512620865,41.06255849812134
MN,-9.149379403221454,94.64846404085759,27.277408993961533
MO,22.015974829396043,94.57023304792943,34.13864625461452
MS,29.24392757973627,97.77105788940996,32.64416480853329
MT,-7.722417567004494,87.22816341531038,33.312288530317055
NC,20.874422281405295,99.9007328253545,27.209996990364303
ND,-13.298470682750745,98.95221512167664,21.22959553482331
NE,10.410414061507582,93.68290176854951,31.347164281087476
NH,8.210987194054523,90.3621414496596,10.888724622956836
NJ,12.123093618101883,94.27384659856268,37.73023903213597
NM,22.454034250672482,93.02414935223986,36.627360549663486
NV,25.002176534550234,92.70231794365021,31.06066368677404
NY,6.6841228296171655,93.80220055419075,36.50810885895146
OH,4.964478628671334,94.59452785345282,39.2331642592054
OK,30.609352803490797,89.60501814788385,39.217295312842545
OR,9.898880665091674,97.8887731985556,33.39692381513073
PA,6.645577408052997,94.87101932119292,33.35652611059218
RI,10.083693516482695,95.58744049197173,21.768841295918477
SC,22.793473265581156,99.20005078064345,25.955031053471693
SD,8.464523847266966,88.61095664983502,26.534171215686108
TN,27.588487194118684,95.7964090653151,33.855912770102734
TX,28.673517770172293,90.61586722608897,31.144980212457057
UT,14.433002043454675,88.30647717277608,37.47321741072068
VA,18.53093163172942,99.88526124143112,30.223592100449512
VT,1.6581024878614592,100.0,3.7096212651074145
WA,4.696676234438377,98.70940572484304,33.91969362633824
WI,-12.133989449729976,95.08904594577317,38.203435119506686
WV,14.67260693145319,99.77966451098811,33.541503242329014
WY,-4.58566688248238,90.22367181672873,33.28732463218053
