state,perc_elec_savings,perc_gas_savings,perc_total_savings
AK,-47.99717441404353,93.30706212226421,40.755553943361974
AL,-4.273140744209277,89.31948156739648,19.701604138893828
AR,-12.027410234030707,93.06441753684166,21.74229203639951
AZ,2.033796463408779,84.04072108938095,15.403399326916677
CA,4.078762280183399,64.10546472463543,21.91351198971653
CO,-39.778987482462604,94.57498481409415,38.897543704465946
CT,-24.892432360898944,94.45632201089725,32.16725538750708
DC,-15.122194120837888,90.15896268060564,23.143072367845978
DE,-10.887620292555983,95.68489214079186,19.9663594996301
FL,3.4260346746944577,29.577217262625755,4.24557676916197
GA,-6.063778657272563,90.4255384146655,19.210553073087862
HI,15.620993042013408,0.2927835511988863,15.531525363103675
IA,-31.701799044750743,95.28999683690876,32.05444630860004
ID,-43.96137389730679,94.60766458509701,40.69442149728608
IL,-49.05974440289951,96.79139326809792,39.06866676271951
IN,-45.305748919326334,96.78362519476065,38.223781769610156
KS,-20.850444194098728,93.37035881721135,30.497294550173674
KY,-12.237435984547577,92.51714396717392,28.903408615033385
LA,-1.16504949496121,88.46504862742763,14.924041020684564
MA,-39.677480280995255,96.1120504540265,38.20721540889068
MD,-4.412437317488474,88.0028973278877,18.817427436759257
ME,-15.944521601633847,72.47796466554843,14.366775979731173
MI,-59.387940499524646,96.98492083733171,42.893943223566104
MN,-46.31347833255231,94.38733532054556,34.033951932269254
MO,-9.740636207878579,93.4010638962109,25.03703097855954
MS,-5.856658192779079,88.37831893733508,19.662175231628378
MT,-80.88154805081057,95.96456536886387,41.03771407605029
NC,-3.4475311440251377,88.33415616533519,15.82792241959719
ND,-11.68128145941843,95.12914471342343,17.745546931855642
NE,-9.380293538887303,93.78965163163693,35.280049846360455
NH,-27.28796656166707,94.61376655193277,32.042541189111446
NJ,-35.552201617961565,95.89905853431809,37.644056340798
NM,-15.938607619247742,93.35263724250709,29.925322476661503
NV,-6.774632673961172,92.07717781082219,25.57214109928581
NY,-44.2465419741853,96.70592133751039,40.17771656136882
OH,-49.222395723695314,97.11583940491188,41.9470944145301
OK,-17.399484731393336,94.54614466063418,32.492729408278464
OR,5.266066756361491,84.16171837296922,24.034974725237774
PA,-45.42675530383324,96.26199629630413,39.046986644794394
RI,-24.87063125211456,93.52779769510131,34.02478527356986
SC,-2.6273770237081973,87.01651814024538,15.031661128617111
SD,-16.8274190761049,93.31483226435829,25.23187010768613
TN,-7.822230805636531,91.79363552655624,25.359006502743547
TX,-1.294893327097744,88.94932679347417,16.915448610226317
UT,-33.498617602946844,95.6802012824984,38.119052285534764
VA,-6.468744085924242,88.5891770782398,17.513182955140532
VT,-3.4502966520068283,88.82316378226962,15.425785319408531
WA,-4.869615676343841,87.8782306454731,21.648116911061525
WI,-69.8550166063458,97.05265577176823,43.08645388811214
WV,-10.526268334866911,92.52642048994815,22.53382685400741
WY,-52.59756127706955,96.53274067327516,37.95568537198223
