state,perc_elec_savings,perc_gas_savings,perc_total_savings
AK,18.95498090544508,94.17405439189388,31.884584584534707
AL,15.382017408348474,96.8292389933646,21.348355832162433
AR,16.692667229213043,76.94580919331881,22.742976695253418
AZ,23.824810455990843,93.17453722408851,24.109748572003664
CA,28.981770879880706,96.20993079009953,43.425465865227196
CO,12.934795380811382,91.89665634118899,29.611725127325382
CT,7.321641604001507,96.73229107549287,20.635060556152755
DC,13.460942757579033,92.22424663051662,25.947384708094035
DE,10.16592287401086,93.21585668180491,27.24519836941383
FL,18.78974908505663,97.08736701648304,18.93156069328425
GA,15.919624837773926,95.36230776722347,21.958140754900263
HI,25.755938581419155,100.0,25.756430850214503
IA,7.774954093577819,85.97143427889863,27.48100156123207
ID,15.217423104066025,93.23899549515394,32.385879919902564
IL,3.4685478546358453,96.14618638780212,33.16013049245172
IN,6.802745746609353,95.88261585860934,30.258708864345547
KS,19.940792430169445,87.26769013086866,31.060839903339165
KY,11.698144832294377,96.2057390089138,27.372164844571493
LA,20.0484140303269,76.34812049229454,21.362122056362637
MA,5.43197240557182,96.64134894251886,23.452459687187176
MD,12.317926422398212,95.04105974096184,27.06072345930108
ME,7.696987811504726,86.49090652176005,9.525544278749209
MI,5.370604773614107,96.22871664491663,36.60747532132492
MN,9.560716037380226,90.79515807293753,31.611854498906997
MO,20.180090570188867,91.12893451951835,29.414845839747855
MS,17.806018983152452,95.68893962188481,23.91944737689782
MT,11.23547665523196,87.80910863244138,33.20437503204118
NC,17.555782718563325,95.33942273286198,23.33521916527971
ND,0.337387113069149,87.81885079900005,21.572220354372106
NE,11.330629001587027,88.96776805613628,31.598350989970744
NH,10.264111636424431,100.0,14.984710985719623
NJ,13.35455826150705,91.94859646515468,28.999699992166306
NM,17.390170728461115,91.33297099269647,25.874729507177502
NV,20.180259069095623,95.67387445487859,24.19965355540428
NY,11.208817299762977,90.2865363011561,29.987776775286235
OH,6.863507192702629,95.37258534972324,32.07853816229806
OK,19.928672462184633,72.4792757691325,27.828287632860203
OR,17.467086222765943,95.52230268294302,21.18517969048296
PA,12.433749734810386,91.0022489341826,25.91827411333789
RI,5.883758704968967,91.75934683418298,24.911423611303064
SC,16.949523323503414,96.54133581633106,21.637111729105147
SD,2.641573650937062,94.4789220386353,25.6365436342339
TN,16.08841656647557,95.67258750587425,26.01394038284571
TX,17.871534523947464,78.3083642892282,20.229229610779832
UT,15.441094965508322,90.97795782007684,29.010781870633597
VA,14.227380382120169,93.23712703384032,23.912334047007214
VT,6.263004580678932,88.1338687595354,17.63883049435109
WA,17.722349630241652,95.85863258391639,21.8501323826885
WI,1.2663535022138064,95.06981812826058,31.637466439830042
WV,13.890860640379788,90.68793082306955,28.04268456715627
WY,14.807238197664429,87.22716628504281,31.658959741470515
